COUNTRY_NAME,REGION,BASIS,EVIDENCE,REVIEW
Algeria,NORTH_AFRICA_AND_MIDDLE_EAST,authored,"7 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Antigua and Barbuda,CENTRAL_AMERICA,inferred,1/1 single-country lineages,
Argentina,SOUTH_AMERICA,inferred,49/49 single-country lineages,
Armenia,NORTH_AFRICA_AND_MIDDLE_EAST,inferred,5/5 single-country lineages,
Ascension Island,SUB_SAHARAN_AFRICA,eliminated,FREMIN01's SUB_SAHARAN_AFRICA flag has no other source among its countries,
Australia,AUSTRALIA_AND_NEW_ZEALAND,inferred,96/96 single-country lineages,
Austria,EUROPE,inferred,46/46 single-country lineages,
Azerbaijan,NORTH_AFRICA_AND_MIDDLE_EAST,authored,"9 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Belarus,EUROPE,inferred,1/1 single-country lineages,
Belgium,EUROPE,inferred,1/1 single-country lineages,
Belize,CENTRAL_AMERICA,authored,"3 record(s) in the 2026-03-23 release. Reviewed and approved by Vincenzo Ellis, 2026-08-08, as part of a pass over all 24 authored rows -- the only rows in this table that are a decision rather than a reading of the published release.",
Benin,SUB_SAHARAN_AFRICA,inferred,42/42 single-country lineages,
Bermuda,NORTH_AMERICA,authored,"Curator decision (Vincenzo Ellis, 2026-08-08): Bermuda is Northern America under UN M49. The release could not settle it -- all 3 lineages recorded in Bermuda (GRW04, PADOM01, SEIAUR01) also carry United States records, so NORTH_AMERICA was flagged either way and the original data is silent on the question. The choice therefore changes no row in the present data; what it decides is the first lineage found in Bermuda and nowhere else.",
Bolivia,SOUTH_AMERICA,inferred,2/2 single-country lineages,
Bosnia and Herzegovina,EUROPE,inferred,1/1 single-country lineages,
Botswana,SUB_SAHARAN_AFRICA,inferred,28/28 single-country lineages,
