"malavi_host","botw_names","lat","lon","n_records","seasonal_codes","verdict","range_edition","crosswalk","release"
"Acrocephalus arundinaceus","Acrocephalus arundinaceus",38.24618,35.19878,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Acrocephalus melanopogon","Acrocephalus melanopogon",38.24618,35.19878,1,"4","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Acrocephalus paludicola","Acrocephalus paludicola",40.7333,-8.5936,1,"4","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Acrocephalus palustris","Acrocephalus palustris",55.68333,13.43333,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus",55.68333,13.43333,4,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Acrocephalus scirpaceus","Acrocephalus scirpaceus",38.24618,35.19878,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Acrocephalus scirpaceus","Acrocephalus scirpaceus",43.66667,28.53333,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Acrocephalus scirpaceus","Acrocephalus scirpaceus",55.68333,13.43333,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Anser anser","Anser anser",46.24986,122.95514,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Anthus campestris","Anthus campestris",39.8,-2.16667,8,"4","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Anthus trivialis","Anthus trivialis",55.68333,13.43333,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Aplonis panayensis","Aplonis panayensis",1.45,110.41667,8,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Asio otus","Asio otus",44.9511,20.4046,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Asio otus","Asio otus",45.0522,20.4216,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Asio otus","Asio otus",45.234,19.7027,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Asio otus","Asio otus",45.2797,19.5015,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Asio otus","Asio otus",45.3575,19.6057,4,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Asio otus","Asio otus",45.3811,20.2519,2,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Buteo jamaicensis","Buteo jamaicensis",47.77472,-96.60639,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Buteo jamaicensis","Buteo jamaicensis",47.92126,-97.08833,6,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Buteo platypterus","Buteo platypterus",47.77472,-96.60639,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Cardellina canadensis","Cardellina canadensis",43.32404,-77.71753,4,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Carduelis spinus","Spinus spinus",54.7,25.26667,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Carduelis spinus","Spinus spinus",55.08333,20.73333,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Catharus minimus","Catharus minimus",4.36,-74.35033,3,"3","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Catharus minimus","Catharus minimus",8.661,-77.369,3,"3","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Catharus minimus","Catharus minimus",11.12,-74.085,6,"3","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Catharus minimus","Catharus minimus",48,-56,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Catharus ustulatus","Catharus ustulatus|Catharus swainsoni",64.86667,-147.73333,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Cettia cetti","Cettia cetti",40.22,-8.45,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Cettia cetti","Cettia cetti",40.85,-6.9,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Cettia cetti","Cettia cetti",43.66667,28.53333,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Columba palumbus","Columba palumbus",50.65205,9.16243,4,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Coracias garrulus","Coracias garrulus",37.05,2.35,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Dendroica caerulescens","Setophaga caerulescens",43.32404,-77.71753,6,"4","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Dendroica coronata","Setophaga coronata",35.837,-106.558,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Dendroica coronata","Setophaga coronata",35.933,-105.533,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Emberiza pusilla","Emberiza pusilla",68.21667,69.15,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Emberiza schoeniclus","Emberiza schoeniclus",55.68333,13.43333,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Emberiza schoeniclus","Emberiza schoeniclus",59.16667,15.41667,4,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Erithacus rubecula","Erithacus rubecula",50.83933,8.67674,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Erithacus rubecula","Erithacus rubecula",55.34133,21.18733,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Erithacus rubecula","Erithacus rubecula",55.68333,13.43333,6,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Erithacus rubecula","Erithacus rubecula",59.16667,15.41667,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Falco sparverius","Falco sparverius",23.53943,-101.19217,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Falco sparverius","Falco sparverius",39.6152,-75.6063,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Ficedula albicollis","Ficedula albicollis",57.21667,18.53333,8,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Ficedula hypoleuca","Ficedula hypoleuca",55.68333,13.43333,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Ficedula hypoleuca","Ficedula hypoleuca",59.16667,15.41667,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Fringilla coelebs","Fringilla coelebs",55.68333,13.43333,6,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Fringilla coelebs","Fringilla coelebs",59.16667,15.41667,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Fringilla montifringilla","Fringilla montifringilla",66.65,66.4,2,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Fulica atra","Fulica atra",46.24986,122.95514,15,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Gallinula chloropus","Gallinula chloropus",46.24986,122.95514,4,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Grus americana","Grus americana",59.38333,-112.98333,1,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Himantopus himantopus","Himantopus himantopus",38.46567,-8.73323,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Hippolais icterina","Hippolais icterina",55.68333,13.43333,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Hippolais icterina","Hippolais icterina",59.16667,15.41667,3,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Hippolais polyglotta","Hippolais polyglotta",40.22,-8.45,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Hirundo rustica","Hirundo rustica",40.63,44.94,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Ixobrychus minutus","Ixobrychus minutus",38.24618,35.19878,2,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Lanius collurio","Lanius collurio",38.24618,35.19878,3,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Loxia curvirostra","Loxia curvirostra",55.08333,20.73333,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Luscinia luscinia","Luscinia luscinia",55.68333,13.43333,3,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Luscinia luscinia","Luscinia luscinia",59.16667,15.41667,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Luscinia svecica","Luscinia svecica",40.33333,-5.33333,1,"3","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Motacilla alba","Motacilla alba",43.66667,28.53333,2,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Motacilla flava","Motacilla flava",43.66667,28.53333,2,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Muscicapa striata","Muscicapa striata",44.06,40.73,1,"2","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Mycteria americana","Mycteria americana",-19.83333,-56.03333,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Mycteria americana","Mycteria americana",-18.66667,-56.41667,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Mycteria americana","Mycteria americana",-16.46667,-56.11667,2,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Mycteria americana","Mycteria americana",-16.43333,-56.05,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Mycteria americana","Mycteria americana",-16.41667,-56.6,2,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Mycteria americana","Mycteria americana",0.45,-50.66667,2,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Mycteria americana","Mycteria americana",1.93333,-50.58333,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Mycteria americana","Mycteria americana",32.81667,-82.08333,1,"3","nonbreeding_or_passage","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Nycticorax nycticorax","Nycticorax nycticorax",46.24986,122.95514,2,"","outside","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
"Parus major","Parus major",50.83933,8.67674,1,"1","breeding_or_resident","BirdLife BOTW 2024.2","crosswalk_malavi_2026-03-23.rds","2026-09-15"
