malavi_country,natural_earth_admin,note
United States,United States of America,
Czech Republic,Czechia,
"Korea, South",South Korea,
The Bahamas,The Bahamas,
Turkey,Turkey,
Guadeloupe,France,overseas department; part of the France feature
Martinique,France,overseas department; part of the France feature
Réunion,France,overseas department; part of the France feature
Mayotte,France,overseas department; part of the France feature
São Tomé and Príncipe,São Tomé and Principe,accent differs
Cape Verde,Cabo Verde,
Christmas Island,Indian Ocean Territories,Australian external territory feature
Ascension Island,Saint Helena,part of the Saint Helena feature
Falkland Islands (Islas Malvinas),Falkland Islands,MalAvi's spelling carries the parenthesis
